filename,label
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_1.jpg,sitting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_2.jpg,using_laptop
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_3.jpg,hugging
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_4.jpg,sleeping
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_5.jpg,using_laptop
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_6.jpg,sleeping
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_7.jpg,drinking
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_8.jpg,hugging
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_9.jpg,clapping
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_10.jpg,dancing
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_11.jpg,cycling
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_12.jpg,drinking
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_13.jpg,clapping
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_14.jpg,calling
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_15.jpg,sleeping
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_16.jpg,drinking
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_17.jpg,calling
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_18.jpg,laughing
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_19.jpg,using_laptop
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_20.jpg,using_laptop
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_21.jpg,clapping
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_22.jpg,eating
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_23.jpg,fighting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_24.jpg,listening_to_music
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_25.jpg,dancing
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_26.jpg,drinking
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_27.jpg,cycling
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_28.jpg,laughing
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_29.jpg,drinking
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_30.jpg,dancing
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_31.jpg,listening_to_music
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_32.jpg,cycling
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_33.jpg,sitting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_34.jpg,sitting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_35.jpg,sleeping
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_36.jpg,eating
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_37.jpg,running
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_38.jpg,running
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_39.jpg,hugging
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_40.jpg,hugging
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_41.jpg,calling
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_42.jpg,using_laptop
